,age,nationality,club,overall,potential,value_eur,preferred_foot,international_reputation,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,main_position,bmi
0,32,0,0,94,94,95500000,0,5,4,4,87.0,92.0,92.0,96.0,39.0,66.0,88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26,89,89,89,93,93,93,93,93,93,93,93,92,87,87,87,92,68,66,66,66,68,63,52,52,52,63,0,24.913494809688583
1,34,1,1,93,93,58500000,1,5,4,5,90.0,93.0,82.0,89.0,35.0,78.0,84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,91,91,91,89,90,90,90,89,88,88,88,88,81,81,81,88,65,61,61,61,65,61,53,53,53,61,1,23.735308416025617
2,27,2,2,92,92,105500000,1,5,5,5,91.0,85.0,87.0,95.0,32.0,58.0,87,87,62,87,87,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90,90,94,27,26,29,84,84,84,90,89,89,89,90,90,90,90,89,82,82,82,89,66,61,61,61,66,61,46,46,46,61,2,22.20408163265306
4,28,3,3,91,91,90000000,1,4,4,4,91.0,83.0,86.0,94.0,35.0,66.0,81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22,83,83,83,89,88,88,88,89,89,89,89,89,83,83,83,89,66,63,63,63,66,61,49,49,49,61,2,24.163265306122447
5,28,3,4,91,91,90000000,1,4,5,4,76.0,86.0,92.0,86.0,61.0,78.0,93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51,82,82,82,87,87,87,87,87,88,88,88,88,87,87,87,88,77,77,77,77,77,73,66,66,66,73,3,21.36686914318855
7,27,4,5,90,91,78000000,1,3,3,2,77.0,60.0,70.0,71.0,90.0,86.0,53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85,69,69,69,67,69,69,69,67,69,69,69,69,74,74,74,69,79,83,83,83,79,81,87,87,87,81,4,24.69864962817794
8,33,5,3,90,90,45000000,1,4,4,4,74.0,76.0,89.0,89.0,72.0,66.0,86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71,77,77,77,84,83,83,83,84,86,86,86,85,87,87,87,85,81,81,81,81,81,79,72,72,72,79,5,22.30935640886966
9,27,6,5,90,90,80500000,0,3,3,4,93.0,86.0,81.0,89.0,45.0,74.0,79,90,59,84,79,89,83,69,75,89,94,92,91,92,88,80,69,85,73,84,63,55,92,84,77,91,38,43,41,84,84,84,88,88,88,88,88,87,87,87,87,81,81,81,87,70,67,67,67,70,66,57,57,57,66,0,23.183673469387756
10,20,7,2,89,95,93500000,1,3,4,5,96.0,84.0,78.0,90.0,39.0,75.0,78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32,86,86,86,87,87,87,87,87,86,86,86,86,78,78,78,86,66,62,62,62,66,63,54,54,54,63,1,23.04002019946976
11,28,8,6,89,91,67500000,1,3,3,2,71.0,28.0,54.0,67.0,89.0,87.0,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,56,56,56,55,57,57,57,55,58,58,58,60,65,65,65,60,74,79,79,79,74,77,86,86,86,77,4,25.45111384369012
